PanProtein	has_length	translates_from_PanGene	member_of_PanProteinCluster
PAN299	188	pan_299	PANCL524
PAN12104	169	pan_12104	PANCL10885
PAN9059	333	pan_9059	PANCL10323
PAN11670	301	pan_11670	PANCL3406
PAN13095	287	pan_13095	PANCL1266
PAN11807	179	pan_11807	PANCL11807
PAN118	380	pan_118	PANCL8002
PAN4197	389	pan_4197	PANCL6368
PAN1926	512	pan_1926	PANCL5224
PAN10919	287	pan_10919	PANCL1266
PAN8770	322	pan_8770	PANCL7378
PAN10985	220	pan_10985	PANCL7857
PAN11811	204	pan_11811	PANCL5844
PAN1107	296	pan_1107	PANCL5365
PAN5537	183	pan_5537	PANCL5339
PAN9335	110	pan_9335	PANCL5169
PAN5502	368	pan_5502	PANCL5502
PAN7036	513	pan_7036	PANCL7036
PAN2153	298	pan_2153	PANCL1797
PAN13595	353	pan_13595	PANCL10457
PAN10910	177	pan_10910	PANCL8212
PAN7615	302	pan_7615	PANCL7555
PAN13351	322	pan_13351	PANCL7378
PAN12404	303	pan_12404	PANCL5365
PAN3093	267	pan_3093	PANCL8432
PAN259	350	pan_259	PANCL6167
PAN3853	287	pan_3853	PANCL1266
PAN6052	301	pan_6052	PANCL144
PAN11361	275	pan_11361	PANCL1383
PAN3003	487	pan_3003	PANCL3003
PAN4055	384	pan_4055	PANCL6368
PAN10562	247	pan_10562	PANCL519
PAN11223	208	pan_11223	PANCL12886
PAN3434	382	pan_3434	PANCL8002
PAN9131	398	pan_9131	PANCL13812
PAN9910	1047	pan_9910	PANCL5270
PAN3541	398	pan_3541	PANCL13812
PAN2986	289	pan_2986	PANCL1418
PAN12428	293	pan_12428	PANCL6752
PAN6629	742	pan_6629	PANCL5985
PAN11459	292	pan_11459	PANCL144
PAN7199	183	pan_7199	PANCL5339
PAN5436	309	pan_5436	PANCL5436
PAN1092	287	pan_1092	PANCL1266
PAN3799	275	pan_3799	PANCL1383
PAN12101	159	pan_12101	PANCL10099
PAN43	215	pan_43	PANCL2748
PAN9269	263	pan_9269	PANCL5280
PAN6142	203	pan_6142	PANCL1458
PAN4061	179	pan_4061	PANCL1797
PAN5147	67	pan_5147	PANCL5042
PAN6514	584	pan_6514	PANCL6514
PAN2241	258	pan_2241	PANCL2948
PAN10484	161	pan_10484	PANCL10484
PAN1213	296	pan_1213	PANCL10299
PAN671	542	pan_671	PANCL817
PAN13619	297	pan_13619	PANCL7537
PAN2459	247	pan_2459	PANCL519
PAN3053	398	pan_3053	PANCL13812
PAN1506	300	pan_1506	PANCL1506
PAN1578	274	pan_1578	PANCL1383
PAN2729	384	pan_2729	PANCL6368
PAN2576	216	pan_2576	PANCL2883
PAN6506	258	pan_6506	PANCL6506
PAN9792	351	pan_9792	PANCL12755
PAN11417	291	pan_11417	PANCL5365
PAN13333	163	pan_13333	PANCL12824
PAN1384	219	pan_1384	PANCL165
PAN5257	464	pan_5257	PANCL6771
PAN2542	287	pan_2542	PANCL1266
PAN8868	173	pan_8868	PANCL7409
PAN10340	379	pan_10340	PANCL13801
PAN3242	398	pan_3242	PANCL13812
PAN11543	110	pan_11543	PANCL11543
PAN9953	313	pan_9953	PANCL13672
PAN1156	287	pan_1156	PANCL1266
PAN201	246	pan_201	PANCL6127
PAN6735	368	pan_6735	PANCL6735
PAN7136	128	pan_7136	PANCL8620
PAN1226	274	pan_1226	PANCL1226
PAN8771	352	pan_8771	PANCL10457
PAN7278	357	pan_7278	PANCL5768
PAN9340	332	pan_9340	PANCL8543
PAN3797	384	pan_3797	PANCL6368
PAN13512	640	pan_13512	PANCL8755
PAN7809	115	pan_7809	PANCL7809
PAN411	640	pan_411	PANCL8755
PAN3026	124	pan_3026	PANCL3632
PAN8311	398	pan_8311	PANCL10617
PAN6085	397	pan_6085	PANCL3630
PAN12340	398	pan_12340	PANCL13812
PAN12317	822	pan_12317	PANCL12317
PAN12478	643	pan_12478	PANCL12478
PAN12614	294	pan_12614	PANCL6752
PAN13465	145	pan_13465	PANCL9984
PAN3598	398	pan_3598	PANCL13812
PAN10703	223	pan_10703	PANCL1266
PAN3653	291	pan_3653	PANCL1418
PAN3418	347	pan_3418	PANCL6167
PAN6391	264	pan_6391	PANCL8
PAN2612	293	pan_2612	PANCL1418
PAN368	271	pan_368	PANCL10748
PAN10823	416	pan_10823	PANCL8002
PAN3567	398	pan_3567	PANCL13812
PAN90	543	pan_90	PANCL6496
PAN4859	268	pan_4859	PANCL10748
PAN11486	566	pan_11486	PANCL399
PAN6882	134	pan_6882	PANCL6882
PAN2893	166	pan_2893	PANCL390
PAN5431	89	pan_5431	PANCL13154
PAN3740	398	pan_3740	PANCL13812
PAN2828	280	pan_2828	PANCL2828
PAN14023	172	pan_14023	PANCL8146
PAN699	243	pan_699	PANCL102
PAN13187	157	pan_13187	PANCL13187
PAN3482	276	pan_3482	PANCL281
PAN13363	327	pan_13363	PANCL12776
PAN13635	389	pan_13635	PANCL8002
PAN10314	159	pan_10314	PANCL10031
PAN5902	264	pan_5902	PANCL8
PAN1938	382	pan_1938	PANCL8002
PAN9774	287	pan_9774	PANCL1266
PAN9438	261	pan_9438	PANCL9438
PAN8233	326	pan_8233	PANCL8221
PAN11796	467	pan_11796	PANCL9871
PAN2375	279	pan_2375	PANCL1383
PAN10489	359	pan_10489	PANCL10489
PAN4771	287	pan_4771	PANCL1266
PAN2032	470	pan_2032	PANCL1873
PAN2398	215	pan_2398	PANCL2748
PAN5737	258	pan_5737	PANCL2948
PAN1430	155	pan_1430	PANCL1430
PAN8208	425	pan_8208	PANCL10126
PAN3304	275	pan_3304	PANCL1383
PAN9400	298	pan_9400	PANCL9400
PAN8089	409	pan_8089	PANCL7752
PAN6294	394	pan_6294	PANCL1673
PAN8838	342	pan_8838	PANCL11716
PAN8433	97	pan_8433	PANCL7886
PAN1104	276	pan_1104	PANCL1383
PAN532	276	pan_532	PANCL11647
PAN6147	108	pan_6147	PANCL6146
PAN11264	269	pan_11264	PANCL11264
PAN3665	263	pan_3665	PANCL5280
PAN327	287	pan_327	PANCL1266
PAN9304	295	pan_9304	PANCL11230
PAN8847	346	pan_8847	PANCL12746
PAN10236	316	pan_10236	PANCL10236
PAN1163	291	pan_1163	PANCL180
PAN11853	325	pan_11853	PANCL12776
PAN9508	158	pan_9508	PANCL6117
PAN6076	640	pan_6076	PANCL8755
PAN8967	81	pan_8967	PANCL263
PAN10651	548	pan_10651	PANCL580
PAN591	380	pan_591	PANCL8002
PAN9733	335	pan_9733	PANCL8002
PAN8556	640	pan_8556	PANCL8755
PAN6064	323	pan_6064	PANCL4455
PAN12970	165	pan_12970	PANCL9618
PAN12677	385	pan_12677	PANCL5577
PAN12407	303	pan_12407	PANCL5365
PAN1088	322	pan_1088	PANCL11951
PAN10971	364	pan_10971	PANCL13651
PAN11560	99	pan_11560	PANCL5392
PAN996	294	pan_996	PANCL6752
PAN442	277	pan_442	PANCL1383
PAN6601	763	pan_6601	PANCL5075
PAN5077	274	pan_5077	PANCL1383
PAN7921	159	pan_7921	PANCL14053
PAN6059	290	pan_6059	PANCL625
PAN7416	160	pan_7416	PANCL9691
PAN7822	173	pan_7822	PANCL7409
PAN10182	165	pan_10182	PANCL7449
PAN1603	203	pan_1603	PANCL1458
PAN3432	398	pan_3432	PANCL13812
PAN8799	281	pan_8799	PANCL13229
PAN3706	292	pan_3706	PANCL144
PAN12962	171	pan_12962	PANCL7357
PAN7324	109	pan_7324	PANCL7324
PAN6093	271	pan_6093	PANCL10748
PAN7774	1198	pan_7774	PANCL6702
PAN3677	258	pan_3677	PANCL2948
PAN9483	246	pan_9483	PANCL6947
PAN13800	267	pan_13800	PANCL11647
PAN10878	176	pan_10878	PANCL10878
PAN7708	413	pan_7708	PANCL5527
PAN12080	640	pan_12080	PANCL8755
PAN1309	287	pan_1309	PANCL1266
PAN16	480	pan_16	PANCL1797
PAN8334	640	pan_8334	PANCL8755
PAN5882	407	pan_5882	PANCL5882
PAN1514	269	pan_1514	PANCL557
PAN12894	318	pan_12894	PANCL8002
PAN9296	187	pan_9296	PANCL9296
PAN7588	249	pan_7588	PANCL8637
PAN10485	165	pan_10485	PANCL10491
PAN9969	241	pan_9969	PANCL2872
PAN12737	222	pan_12737	PANCL7857
PAN1038	287	pan_1038	PANCL1266
PAN2906	258	pan_2906	PANCL2948
PAN354	210	pan_354	PANCL13412
PAN3932	398	pan_3932	PANCL13812
PAN2722	382	pan_2722	PANCL8002
PAN12328	398	pan_12328	PANCL13812
PAN6613	130	pan_6613	PANCL6613
PAN4522	258	pan_4522	PANCL2948
PAN3823	384	pan_3823	PANCL6368
PAN10638	287	pan_10638	PANCL1266
PAN10141	361	pan_10141	PANCL7364
PAN9436	490	pan_9436	PANCL9866
PAN732	292	pan_732	PANCL144
PAN2597	402	pan_2597	PANCL2597
PAN12700	382	pan_12700	PANCL8002
PAN8611	287	pan_8611	PANCL1266
PAN10559	266	pan_10559	PANCL8432
PAN10186	163	pan_10186	PANCL9618
PAN7198	216	pan_7198	PANCL2883
PAN304	292	pan_304	PANCL5365
PAN5186	232	pan_5186	PANCL6316
PAN8792	163	pan_8792	PANCL9618
PAN10139	433	pan_10139	PANCL12755
PAN13037	303	pan_13037	PANCL5365
PAN7678	162	pan_7678	PANCL7678
PAN3530	382	pan_3530	PANCL8002
PAN484	294	pan_484	PANCL6752
PAN11413	294	pan_11413	PANCL6752
PAN215	247	pan_215	PANCL519
PAN11017	259	pan_11017	PANCL12776
PAN7903	304	pan_7903	PANCL7903
PAN10167	162	pan_10167	PANCL9618
PAN12352	131	pan_12352	PANCL10748
PAN4881	293	pan_4881	PANCL1418
PAN428	391	pan_428	PANCL46
PAN11659	378	pan_11659	PANCL8002
PAN12333	311	pan_12333	PANCL9375
PAN8507	287	pan_8507	PANCL1266
PAN7134	399	pan_7134	PANCL7134
PAN884	286	pan_884	PANCL1266
PAN13345	163	pan_13345	PANCL8781
PAN3168	255	pan_3168	PANCL873
PAN5806	478	pan_5806	PANCL5806
PAN12703	291	pan_12703	PANCL1418
PAN1321	382	pan_1321	PANCL8002
PAN7490	287	pan_7490	PANCL1266
PAN6894	209	pan_6894	PANCL4956
PAN11739	391	pan_11739	PANCL13812
PAN8971	140	pan_8971	PANCL6722
PAN5896	287	pan_5896	PANCL1266
PAN727	286	pan_727	PANCL1920
PAN1443	267	pan_1443	PANCL8432
PAN2779	215	pan_2779	PANCL2748
PAN177	286	pan_177	PANCL1266
PAN5541	183	pan_5541	PANCL5339
PAN553	287	pan_553	PANCL1266
PAN3385	281	pan_3385	PANCL1383
PAN2962	287	pan_2962	PANCL1266
PAN85	382	pan_85	PANCL8002
PAN4924	384	pan_4924	PANCL6368
PAN6154	624	pan_6154	PANCL8501
PAN13503	297	pan_13503	PANCL7537
PAN11406	287	pan_11406	PANCL1266
PAN12725	350	pan_12725	PANCL12840
PAN11098	289	pan_11098	PANCL8755
PAN13489	356	pan_13489	PANCL10457
PAN1597	240	pan_1597	PANCL102
PAN3202	385	pan_3202	PANCL6368
PAN7003	285	pan_7003	PANCL7003
PAN13314	164	pan_13314	PANCL7857
PAN13639	307	pan_13639	PANCL8210
PAN645	383	pan_645	PANCL13812
PAN692	272	pan_692	PANCL692
PAN192	382	pan_192	PANCL8002
PAN1439	274	pan_1439	PANCL1383
PAN10507	287	pan_10507	PANCL1266
PAN1079	287	pan_1079	PANCL1266
PAN4252	245	pan_4252	PANCL6947
PAN11993	162	pan_11993	PANCL11993
PAN7643	177	pan_7643	PANCL9995
PAN8515	312	pan_8515	PANCL7560
PAN10759	186	pan_10759	PANCL10748
PAN625	303	pan_625	PANCL625
PAN5873	548	pan_5873	PANCL6921
PAN4188	405	pan_4188	PANCL13090
PAN13867	171	pan_13867	PANCL10851
PAN6445	287	pan_6445	PANCL1266
PAN11435	1047	pan_11435	PANCL6330
PAN11485	291	pan_11485	PANCL1418
PAN7939	163	pan_7939	PANCL11244
PAN316	292	pan_316	PANCL5365
PAN2968	274	pan_2968	PANCL1383
PAN3534	382	pan_3534	PANCL8002
PAN5165	583	pan_5165	PANCL5165
PAN7907	151	pan_7907	PANCL11495
PAN6241	147	pan_6241	PANCL1063
PAN4906	384	pan_4906	PANCL6368
PAN957	275	pan_957	PANCL1383
PAN407	289	pan_407	PANCL11230
PAN2330	384	pan_2330	PANCL6368
PAN12529	271	pan_12529	PANCL1848
PAN3134	211	pan_3134	PANCL13412
PAN8364	198	pan_8364	PANCL11495
PAN4900	247	pan_4900	PANCL421
PAN8713	297	pan_8713	PANCL7537
PAN8188	178	pan_8188	PANCL8188
PAN10380	272	pan_10380	PANCL13858
PAN11102	287	pan_11102	PANCL1266
PAN6421	254	pan_6421	PANCL140
PAN13852	316	pan_13852	PANCL13852
PAN1436	294	pan_1436	PANCL1830
PAN3393	254	pan_3393	PANCL1399
PAN7634	296	pan_7634	PANCL5365
PAN1423	275	pan_1423	PANCL1383
PAN6775	118	pan_6775	PANCL6217
PAN1204	382	pan_1204	PANCL8002
PAN6112	185	pan_6112	PANCL8
PAN3230	398	pan_3230	PANCL13812
PAN11110	382	pan_11110	PANCL8002
PAN6636	1041	pan_6636	PANCL11887
PAN8741	307	pan_8741	PANCL8210
PAN1236	287	pan_1236	PANCL1266
PAN11957	297	pan_11957	PANCL7537
PAN4811	398	pan_4811	PANCL13812
PAN2367	276	pan_2367	PANCL1383
PAN12393	123	pan_12393	PANCL5646
PAN12024	157	pan_12024	PANCL12024
PAN2563	275	pan_2563	PANCL1383
PAN13178	61	pan_13178	PANCL6722
PAN9844	273	pan_9844	PANCL12746
PAN11702	443	pan_11702	PANCL7352
PAN9356	220	pan_9356	PANCL9401
PAN8256	247	pan_8256	PANCL519
PAN8146	174	pan_8146	PANCL8146
PAN9167	291	pan_9167	PANCL1418
PAN1526	275	pan_1526	PANCL1383
PAN9396	209	pan_9396	PANCL9601
PAN427	284	pan_427	PANCL1053
PAN10032	298	pan_10032	PANCL11647
PAN11268	392	pan_11268	PANCL13812
PAN13869	272	pan_13869	PANCL13858
PAN9705	351	pan_9705	PANCL12746
PAN7790	117	pan_7790	PANCL7790
PAN9688	165	pan_9688	PANCL8695
PAN4576	384	pan_4576	PANCL6368
PAN13147	289	pan_13147	PANCL11230
PAN4106	288	pan_4106	PANCL4106
PAN9707	171	pan_9707	PANCL7357
PAN3865	258	pan_3865	PANCL2948
PAN14054	184	pan_14054	PANCL9079
PAN5663	406	pan_5663	PANCL3630
PAN4243	405	pan_4243	PANCL13812
PAN1839	277	pan_1839	PANCL7
PAN9685	379	pan_9685	PANCL7352
PAN2308	294	pan_2308	PANCL6752
PAN3690	250	pan_3690	PANCL363
PAN5809	155	pan_5809	PANCL4108
PAN8048	303	pan_8048	PANCL7537
PAN12645	294	pan_12645	PANCL6752
PAN5090	596	pan_5090	PANCL5090
PAN11182	542	pan_11182	PANCL817
PAN10966	166	pan_10966	PANCL11720
PAN203	267	pan_203	PANCL8432
PAN12001	256	pan_12001	PANCL8331
PAN12341	399	pan_12341	PANCL13812
PAN13189	56	pan_13189	PANCL13189
PAN506	542	pan_506	PANCL5757
PAN4652	274	pan_4652	PANCL1383
PAN2622	398	pan_2622	PANCL13812
PAN4473	398	pan_4473	PANCL13812
PAN4688	398	pan_4688	PANCL13812
PAN9465	774	pan_9465	PANCL6982
PAN10041	181	pan_10041	PANCL10041
PAN7185	158	pan_7185	PANCL7127
PAN10060	335	pan_10060	PANCL8002
PAN10135	372	pan_10135	PANCL12746
PAN10368	319	pan_10368	PANCL9055
PAN9012	416	pan_9012	PANCL8002
PAN712	292	pan_712	PANCL5365
PAN1407	266	pan_1407	PANCL211
PAN1005	295	pan_1005	PANCL1418
PAN2655	215	pan_2655	PANCL2748
PAN2611	699	pan_2611	PANCL7271
PAN13256	271	pan_13256	PANCL12643
PAN13260	294	pan_13260	PANCL6752
PAN3810	398	pan_3810	PANCL13812
PAN5065	407	pan_5065	PANCL2815
PAN12755	480	pan_12755	PANCL12755
PAN9048	302	pan_9048	PANCL10392
PAN9606	164	pan_9606	PANCL9618
PAN1113	292	pan_1113	PANCL144
PAN9673	222	pan_9673	PANCL7857
PAN4879	398	pan_4879	PANCL13812
PAN10321	296	pan_10321	PANCL10321
PAN4206	284	pan_4206	PANCL4236
PAN8021	416	pan_8021	PANCL8002
PAN13959	640	pan_13959	PANCL8755
PAN8762	354	pan_8762	PANCL12755
PAN7576	267	pan_7576	PANCL13168
PAN7307	172	pan_7307	PANCL8
PAN11691	264	pan_11691	PANCL11691
PAN3655	384	pan_3655	PANCL6368
PAN7747	220	pan_7747	PANCL7747
PAN7472	144	pan_7472	PANCL7472
PAN3285	275	pan_3285	PANCL1383
PAN5498	666	pan_5498	PANCL1787
PAN10674	129	pan_10674	PANCL10674
PAN1461	300	pan_1461	PANCL9323
PAN13616	220	pan_13616	PANCL7857
PAN4601	275	pan_4601	PANCL5308
PAN6651	1051	pan_6651	PANCL5783
PAN904	287	pan_904	PANCL1266
PAN10855	332	pan_10855	PANCL12928
PAN12804	382	pan_12804	PANCL8002
PAN4773	298	pan_4773	PANCL4078
PAN10462	327	pan_10462	PANCL12776
PAN4141	384	pan_4141	PANCL6368
PAN13388	164	pan_13388	PANCL9618
PAN13734	640	pan_13734	PANCL8755
PAN607	220	pan_607	PANCL9401
PAN7566	297	pan_7566	PANCL7537
PAN1406	287	pan_1406	PANCL1266
PAN13347	175	pan_13347	PANCL9556
PAN6556	264	pan_6556	PANCL8
PAN11503	109	pan_11503	PANCL7748
PAN11193	288	pan_11193	PANCL3089
PAN1583	247	pan_1583	PANCL519
PAN5714	402	pan_5714	PANCL1673
PAN4637	384	pan_4637	PANCL6368
PAN10290	350	pan_10290	PANCL10290
PAN10097	170	pan_10097	PANCL8206
PAN4524	382	pan_4524	PANCL8002
PAN7572	208	pan_7572	PANCL9601
PAN3792	288	pan_3792	PANCL3089
PAN8030	361	pan_8030	PANCL13812
PAN13572	316	pan_13572	PANCL10236
PAN2303	275	pan_2303	PANCL1383
PAN719	383	pan_719	PANCL13812
PAN12858	299	pan_12858	PANCL77
PAN2817	384	pan_2817	PANCL6368
PAN10765	83	pan_10765	PANCL12013
PAN1149	384	pan_1149	PANCL13812
PAN5134	280	pan_5134	PANCL4236
PAN5819	275	pan_5819	PANCL1383
PAN10831	159	pan_10831	PANCL10099
PAN10305	420	pan_10305	PANCL10126
PAN11621	231	pan_11621	PANCL11621
PAN11985	224	pan_11985	PANCL11985
PAN906	215	pan_906	PANCL2748
PAN5253	452	pan_5253	PANCL5253
PAN2172	542	pan_2172	PANCL817
PAN3662	280	pan_3662	PANCL4236
PAN9681	311	pan_9681	PANCL12746
PAN4755	398	pan_4755	PANCL13812
PAN5745	186	pan_5745	PANCL5339
PAN1269	287	pan_1269	PANCL1266
PAN6230	211	pan_6230	PANCL13412
PAN7534	117	pan_7534	PANCL164
PAN12216	660	pan_12216	PANCL12216
PAN7437	163	pan_7437	PANCL12824
PAN82	292	pan_82	PANCL5365
PAN13478	303	pan_13478	PANCL7537
PAN1067	247	pan_1067	PANCL519
PAN10671	326	pan_10671	PANCL10671
PAN9818	164	pan_9818	PANCL10513
PAN10704	114	pan_10704	PANCL10704
PAN3485	292	pan_3485	PANCL1266
PAN5251	452	pan_5251	PANCL5251
PAN7820	207	pan_7820	PANCL7820
PAN1734	260	pan_1734	PANCL967
PAN4687	640	pan_4687	PANCL8755
PAN1928	292	pan_1928	PANCL5365
PAN12960	355	pan_12960	PANCL7364
PAN2378	158	pan_2378	PANCL6117
PAN2899	384	pan_2899	PANCL6368
PAN8356	378	pan_8356	PANCL8356
PAN6023	263	pan_6023	PANCL8
PAN12521	357	pan_12521	PANCL9625
PAN4683	398	pan_4683	PANCL13812
PAN1801	292	pan_1801	PANCL6752
PAN8518	301	pan_8518	PANCL7537
PAN10334	291	pan_10334	PANCL13738
PAN1059	275	pan_1059	PANCL1
PAN6558	277	pan_6558	PANCL1383
PAN3084	487	pan_3084	PANCL3003
PAN10603	541	pan_10603	PANCL817
PAN13660	295	pan_13660	PANCL144
PAN5417	147	pan_5417	PANCL6319
PAN6466	394	pan_6466	PANCL6686
PAN4192	287	pan_4192	PANCL1266
PAN11167	274	pan_11167	PANCL1383
PAN657	525	pan_657	PANCL657
PAN1771	274	pan_1771	PANCL1383
PAN1137	284	pan_1137	PANCL1053
PAN5962	215	pan_5962	PANCL2748
PAN2777	384	pan_2777	PANCL6368
PAN9163	397	pan_9163	PANCL10617
PAN1261	287	pan_1261	PANCL1266
PAN2814	284	pan_2814	PANCL2814
PAN3614	215	pan_3614	PANCL2748
PAN4526	398	pan_4526	PANCL13812
PAN11538	85	pan_11538	PANCL11538
PAN10093	248	pan_10093	PANCL475
PAN12957	175	pan_12957	PANCL9556
PAN5051	287	pan_5051	PANCL1266
PAN12980	164	pan_12980	PANCL9618
PAN2617	240	pan_2617	PANCL2948
PAN6388	264	pan_6388	PANCL8
PAN11745	288	pan_11745	PANCL3089
PAN5614	213	pan_5614	PANCL5614
PAN1221	219	pan_1221	PANCL165
PAN160	287	pan_160	PANCL1266
PAN11730	269	pan_11730	PANCL8
PAN9678	352	pan_9678	PANCL12746
PAN5227	270	pan_5227	PANCL5227
PAN12425	292	pan_12425	PANCL6752
PAN9650	212	pan_9650	PANCL13412
PAN7894	165	pan_7894	PANCL7449
PAN4582	398	pan_4582	PANCL13812
PAN5918	264	pan_5918	PANCL8
PAN13304	297	pan_13304	PANCL9381
PAN2659	147	pan_2659	PANCL276
PAN7412	166	pan_7412	PANCL11720
PAN3689	384	pan_3689	PANCL6368
PAN10519	298	pan_10519	PANCL1780
PAN13423	642	pan_13423	PANCL2911
PAN8718	351	pan_8718	PANCL12746
PAN8204	166	pan_8204	PANCL12075
PAN13439	485	pan_13439	PANCL7125
PAN12920	297	pan_12920	PANCL7537
PAN3282	79	pan_3282	PANCL5900
PAN5606	162	pan_5606	PANCL7127
PAN7840	166	pan_7840	PANCL13748
PAN10466	166	pan_10466	PANCL7852
PAN1809	266	pan_1809	PANCL211
PAN2385	246	pan_2385	PANCL519
PAN1855	229	pan_1855	PANCL1855
PAN1073	287	pan_1073	PANCL1266
PAN6143	263	pan_6143	PANCL6143
PAN13707	209	pan_13707	PANCL12886
PAN5354	147	pan_5354	PANCL276
PAN9568	165	pan_9568	PANCL7353
PAN99	382	pan_99	PANCL8002
PAN4292	382	pan_4292	PANCL8002
PAN12056	422	pan_12056	PANCL10126
PAN6976	287	pan_6976	PANCL1266
PAN2369	382	pan_2369	PANCL8002
PAN11935	266	pan_11935	PANCL9055
PAN5024	272	pan_5024	PANCL4236
PAN10299	309	pan_10299	PANCL10299
PAN9995	424	pan_9995	PANCL9995
PAN11334	171	pan_11334	PANCL11334
PAN1816	292	pan_1816	PANCL144
PAN3281	309	pan_3281	PANCL198
PAN12094	183	pan_12094	PANCL12094
PAN2362	290	pan_2362	PANCL2362
PAN6628	292	pan_6628	PANCL6155
PAN10328	163	pan_10328	PANCL10907
PAN2338	260	pan_2338	PANCL854
PAN4121	382	pan_4121	PANCL8002
PAN10469	301	pan_10469	PANCL10469
PAN8859	297	pan_8859	PANCL9381
PAN3939	275	pan_3939	PANCL1383
PAN4597	385	pan_4597	PANCL6368
PAN6311	149	pan_6311	PANCL6311
PAN2898	384	pan_2898	PANCL6368
PAN2485	292	pan_2485	PANCL5365
PAN5009	311	pan_5009	PANCL6155
PAN5299	451	pan_5299	PANCL2198
PAN4515	398	pan_4515	PANCL13812
PAN1858	269	pan_1858	PANCL1858
PAN4390	238	pan_4390	PANCL5862
PAN13993	302	pan_13993	PANCL7537
PAN13195	274	pan_13195	PANCL1383
PAN3975	287	pan_3975	PANCL1266
PAN394	179	pan_394	PANCL394
PAN302	287	pan_302	PANCL1266
PAN3768	398	pan_3768	PANCL13812
PAN6426	203	pan_6426	PANCL1458
PAN3445	382	pan_3445	PANCL8002
PAN1242	267	pan_1242	PANCL8432
PAN10223	167	pan_10223	PANCL10885
PAN2168	292	pan_2168	PANCL5365
PAN12615	141	pan_12615	PANCL651
PAN696	240	pan_696	PANCL102
PAN9031	166	pan_9031	PANCL10938
PAN8001	297	pan_8001	PANCL9381
PAN8276	384	pan_8276	PANCL6368
PAN5808	270	pan_5808	PANCL692
PAN4704	191	pan_4704	PANCL2100
PAN7920	166	pan_7920	PANCL10055
PAN121	293	pan_121	PANCL1418
